Suburb	PostCode	State	BSPname
FLYNN	0870	NT	SA CITY SUBS
GILLEN	0870	NT	SA CITY SUBS
ILPARPA	0870	NT	SA CITY SUBS
IRLPME	0870	NT	SA CITY SUBS
LARAPINTA	0870	NT	SA CITY SUBS
MOUNT JOHNS	0870	NT	SA CITY SUBS
ROSS	0870	NT	SA CITY SUBS
SADADEEN	0870	NT	SA CITY SUBS
STUART	0870	NT	SA CITY SUBS
THE GAP	0870	NT	SA CITY SUBS
UNDOOLYA	0870	NT	SA CITY SUBS
WHITE GUMS	0870	NT	SA CITY SUBS
ALICE SPRINGS	0871	NT	SA CITY SUBS
AHERRENGE	0872	NT	SA CITY SUBS
ALI CURUNG	0872	NT	SA CITY SUBS
ALICE SPRINGS	0872	NT	SA CITY SUBS
AMATA	0872	SA	SA CITY SUBS
AMOONGUNA	0872	NT	SA CITY SUBS
AMPILATWATJA	0872	NT	SA CITY SUBS
ANATYE	0872	NT	SA CITY SUBS
ANMATJERE	0872	NT	SA CITY SUBS
ANTEWENEGERRDE	0872	NT	SA CITY SUBS
AREYONGA	0872	NT	SA CITY SUBS
ATITJERE	0872	NT	SA CITY SUBS
AYERS ROCK	0872	NT	SA CITY SUBS
BARROW CREEK	0872	NT	SA CITY SUBS
BURT PLAIN	0872	NT	SA CITY SUBS
CANTEEN CREEK	0872	NT	SA CITY SUBS
CHILLA WELL	0872	NT	SA CITY SUBS
COSTELLO	0872	NT	SA CITY SUBS
DAVENPORT	0872	NT	SA CITY SUBS
DOCKER RIVER	0872	NT	SA CITY SUBS
ENGAWALA	0872	NT	SA CITY SUBS
ERLDUNDA	0872	NT	SA CITY SUBS
ERNABELLA	0872	SA	SA CITY SUBS
FINKE	0872	NT	SA CITY SUBS
FREGON	0872	SA	SA CITY SUBS
GHAN	0872	NT	SA CITY SUBS
GIBSON DESERT NORTH	0872	WA	SA CITY SUBS
GIBSON DESERT SOUTH	0872	WA	SA CITY SUBS
HAASTS BLUFF	0872	NT	SA CITY SUBS
HALE	0872	NT	SA CITY SUBS
HART	0872	NT	SA CITY SUBS
HART RANGE	0872	NT	SA CITY SUBS
HERMANNSBURG	0872	NT	SA CITY SUBS
HUGH	0872	NT	SA CITY SUBS
IMANPA	0872	NT	SA CITY SUBS
INDULKANA	0872	SA	SA CITY SUBS
ININTI STORE	0872	NT	SA CITY SUBS
JAY CREEK	0872	NT	SA CITY SUBS
KALTUKATJARA	0872	NT	SA CITY SUBS
KINTORE	0872	NT	SA CITY SUBS
KIWIRRKURRA	0872	WA	SA CITY SUBS
KULGERA	0872	NT	SA CITY SUBS
KUNPARRKA	0872	NT	SA CITY SUBS
LAKE MACKAY	0872	NT	SA CITY SUBS
LARAMBA	0872	NT	SA CITY SUBS
MEREENIE	0872	NT	SA CITY SUBS
MIMILI	0872	SA	SA CITY SUBS
MOUNT LIEBIG	0872	NT	SA CITY SUBS
MOUNT ZEIL	0872	NT	SA CITY SUBS
MULGA BORE	0872	NT	SA CITY SUBS
MURPUTJA HOMELANDS	0872	SA	SA CITY SUBS
MUTITJULU	0872	NT	SA CITY SUBS
NAMATJIRA	0872	NT	SA CITY SUBS
NGAANYATJARRA-GILES	0872	WA	SA CITY SUBS
NYAPARI	0872	SA	SA CITY SUBS
NYIRRIPI	0872	NT	SA CITY SUBS
PAPUNYA	0872	NT	SA CITY SUBS
PATJARR	0872	WA	SA CITY SUBS
PETERMANN	0872	NT	SA CITY SUBS
PITJANTJATJARA HOMELANDS	0872	SA	SA CITY SUBS
